No.,sp.complex,community,subspecies,taxa,wspClade,elevation,site,breeding system,lat,long,sample elevation,taxonDegs
185,trichocerasa,pleioclada,trichocerasa,NumTri30R,wspC5,700,Numba,dioecious,-5.72779,145.259281,775,ple2
186,trichocerasa,pleioclada,trichocerasa,NumTri33R,wspC5,700,Numba,dioecious,-5.727082,145.259278,801,ple2
236,wassa,wassa,wassa,NumWas025,noWol,700,Numba,dioecious,-5.739342,145.247659,778,was2
237,wassa,wassa,wassa,NumWas027,noWol,700,Numba,dioecious,-5.734943,145.243509,654,was2
238,wassa,wassa,wassa,NumWas028,noWol,700,Numba,dioecious,-5.73276,145.240884,628,was2
239,wassa,wassa,wassa,NumWas030,noWol,700,Numba,dioecious,-5.73544,145.236747,900,was2
240,wassa,wassa,wassa,NumWas031,noWol,700,Numba,dioecious,-5.739615,145.24051,956,was2
241,wassa,wassa,wassa,NumWas12R,noWol,700,Numba,dioecious,-5.732843,145.240875,527,was2
242,wassa,wassa,wassa,NumWas20R,noWol,700,Numba,dioecious,-5.739342,145.247659,778,was2
244,wassa,wassa,wassa,NumWas25R,noWol,700,Numba,dioecious,-5.739342,145.247659,778,was2
243,wassa,wassa,wassa,NumWas25c,noWol,700,Numba,dioecious,-5.739342,145.247659,778,was2
245,wassa,wassa,wassa,NumWas27R,noWol,700,Numba,dioecious,-5.734943,145.243509,654,was2
246,wassa,wassa,wassa,NumWas30R,noWol,700,Numba,dioecious,-5.73544,145.236747,900,was2
247,wassa,wassa,wassa,NumWas31R,noWol,700,Numba,dioecious,-5.739615,145.24051,956,was2
197,trichocerasa,pleioclada,pleioclada,SNoTri2b,wspC6,2200,Snowpass,dioecious,-5.755876,145.17977,1984,ple1
136,itoana,microdictya,microdictya,SnoMic046,wspC7,2200,Snowpass,monoecious,-5.757496,145.185819,2048,mic
137,itoana,microdictya,microdictya,SnoMic047,wspC7,2200,Snowpass,monoecious,-5.757775,145.181824,2047,mic
138,itoana,microdictya,microdictya,SnoMic048,wspC7,2200,Snowpass,monoecious,-5.762089,145.179508,2129,mic
139,itoana,microdictya,microdictya,SnoMic051,wspC7,2200,Snowpass,monoecious,-5.765183,145.178085,2149,mic
140,itoana,microdictya,microdictya,SnoMic052,wspC7,2200,Snowpass,monoecious,-5.765358,145.17814,2192,mic
141,itoana,microdictya,microdictya,SnoMic052b,wspC7,2200,Snowpass,monoecious,-5.765358,145.17814,2192,mic
142,itoana,microdictya,microdictya,SnoMic054,wspC7,2200,Snowpass,monoecious,-5.766277,145.181749,2151,mic
143,itoana,microdictya,microdictya,SnoMic055,wspC7,2200,Snowpass,monoecious,-5.768205,145.180043,2154,mic
144,itoana,microdictya,microdictya,SnoMic46,wspC7,2200,Snowpass,monoecious,-5.757496,145.185819,2048,mic
145,itoana,microdictya,microdictya,SnoMic47,wspC7,2200,Snowpass,monoecious,-5.757775,145.181824,2047,mic
146,itoana,microdictya,microdictya,SnoMic48,wspC7,2200,Snowpass,monoecious,-5.762089,145.179508,2129,mic
147,itoana,microdictya,microdictya,SnoMic50R,wspC7,2200,Snowpass,monoecious,-5.76426,145.178836,2183,mic
148,itoana,microdictya,microdictya,SnoMic51R,wspC7,2200,Snowpass,monoecious,-5.765183,145.178085,2149,mic
149,itoana,microdictya,microdictya,SnoMic52,wspC7,2200,Snowpass,monoecious,-5.765358,145.17814,2192,mic
150,itoana,microdictya,microdictya,SnoMic53R,noWol,2200,Snowpass,monoecious,-5.766615,145.181916,2147,mic
152,itoana,microdictya,microdictya,SnoMic55R,noWol,2200,Snowpass,monoecious,-5.768205,145.180043,2154,mic
151,itoana,microdictya,microdictya,SnoMic55c,wspC7,2200,Snowpass,monoecious,-5.768205,145.180043,2154,mic
153,itoana,microdictya,microdictya,SnoMic59,wspC7,2200,Snowpass,monoecious,-5.76371,145.1804,2133,mic
187,trichocerasa,pleioclada,pleioclada,SnoTri003,wspC6,2200,Snowpass,dioecious,-5.755567,145.180258,2020,ple1
188,trichocerasa,pleioclada,pleioclada,SnoTri005,wspC7,2200,Snowpass,dioecious,-5.755414,145.17995,1988,ple1
189,trichocerasa,pleioclada,pleioclada,SnoTri006,wspC6,2200,Snowpass,dioecious,-5.757964,145.18336,1923,ple1
190,trichocerasa,pleioclada,pleioclada,SnoTri006b,wspC6,2200,Snowpass,dioecious,-5.757964,145.18336,1923,ple1
191,trichocerasa,pleioclada,pleioclada,SnoTri010,wspC6,2200,Snowpass,dioecious,-5.753134,145.181436,1931,ple1
192,trichocerasa,pleioclada,pleioclada,SnoTri011,wspC6,2200,Snowpass,dioecious,-5.75352,145.18142,1928,ple1
193,trichocerasa,pleioclada,pleioclada,SnoTri10c,wspC6,2200,Snowpass,dioecious,-5.753134,145.181436,1931,ple1
195,trichocerasa,pleioclada,pleioclada,SnoTri11R,wspC6,2200,Snowpass,dioecious,-5.75352,145.18142,1928,ple1
194,trichocerasa,pleioclada,pleioclada,SnoTri11b,noWol,2200,Snowpass,dioecious,-5.75352,145.18142,1928,ple1
196,trichocerasa,pleioclada,pleioclada,SnoTri2,wspC5,2200,Snowpass,dioecious,-5.755876,145.17977,1984,ple1
198,trichocerasa,pleioclada,pleioclada,SnoTri3c,wspC6,2200,Snowpass,dioecious,-5.755567,145.180258,2020,ple1
199,trichocerasa,pleioclada,pleioclada,SnoTri6R,wspC6,2200,Snowpass,dioecious,-5.757964,145.18336,1923,ple1
201,trichocerasa,pleioclada,pleioclada,SnoTri7R,wspC6,2200,Snowpass,dioecious,-5.753142,145.181484,1966,ple1
200,trichocerasa,pleioclada,pleioclada,SnoTri7c,noWol,2200,Snowpass,dioecious,-5.753142,145.181484,1966,ple1
248,wassa,wassa,wassa,SnoWas022,noWol,2200,Snowpass,dioecious,-5.759618,145.186825,2043,was1
249,wassa,wassa,wassa,SnoWas023,wspC1,2200,Snowpass,dioecious,-5.759116,145.18646,2035,was1
250,wassa,wassa,wassa,SnoWas17,noWol,2200,Snowpass,dioecious,-5.762214,145.186795,1988,was1
251,wassa,wassa,wassa,SnoWas23R,wspC1,2200,Snowpass,dioecious,-5.759618,145.186825,2043,was1
252,wassa,wassa,wassa,SnoWas27,wspC1,2200,Snowpass,dioecious,-5.758915,145.184382,2086,was1
253,wassa,wassa,wassa,SnoWas29,wspC1,2200,Snowpass,dioecious,-5.76085,145.187038,2031,was1
