No.,sp.complex,community,subspecies,taxa,wspClade,elevation,site,breeding system,lat,long,sample elevation,taxonDegs
226,wassa,wassa,wassa,KauWas29R,noWol,200,Kausi,dioecious,-5.733688,145.332652,180,was2
227,wassa,wassa,wassa,KauWas3,noWol,1200,Memeku,dioecious,-5.743686,145.243794,1063,was2
228,wassa,wassa,wassa,KauWas31R,noWol,1200,Memeku,dioecious,-5.743686,145.243794,1063,was2
229,wassa,wassa,wassa,KauWas32R,noWol,200,Kausi,dioecious,-5.733058,145.333161,171,was2
230,wassa,wassa,wassa,KauWas34R,noWol,200,Kausi,dioecious,-5.733196,145.333037,180,was2
231,wassa,wassa,wassa,KauWas4R,noWol,1200,Memeku,dioecious,-5.745104,145.243388,1121,was2
232,wassa,wassa,wassa,KauWas5R,noWol,1200,Memeku,dioecious,-5.745477,145.2431,1142,was2
233,wassa,wassa,wassa,KauWas6R,noWol,1200,Memeku,dioecious,-5.745741,145.242073,1199,was2
234,wassa,wassa,wassa,KauWas7b,noWol,1200,Memeku,dioecious,-5.745978,145.241789,1216,was2
235,wassa,wassa,wassa,KauWas9,noWol,1200,Memeku,dioecious,-5.7451,145.240178,1214,was1
32,arfarkensis,arfarkensis,arfarkensis,MemAfr001,noWol,1200,Memeku,dioecious,-5.7227,145.268883,1141,arf2
33,arfarkensis,arfarkensis,arfarkensis,MemArf003,noWol,1200,Memeku,dioecious,-5.7199667,145.267933,1214,arf2
34,arfarkensis,arfarkensis,arfarkensis,MemArf11,noWol,1200,Memeku,dioecious,-5.720333,145.267767,1167,arf2
35,arfarkensis,arfarkensis,arfarkensis,MemArf12,noWol,1200,Memeku,dioecious,-5.726317,145.267783,1022,arf3
36,arfarkensis,arfarkensis,arfarkensis,MemArf13,wspC2,1200,Memeku,dioecious,-5.726417,145.267617,1059,arf3
37,arfarkensis,arfarkensis,arfarkensis,MemArf14,noWol,1200,Memeku,dioecious,-5.71915,145.270417,1256,arf2
38,arfarkensis,arfarkensis,arfarkensis,MemArf1R,noWol,1200,Memeku,dioecious,-5.7227,145.268883,1141,arf2
39,arfarkensis,arfarkensis,arfarkensis,MemArf3R,noWol,1200,Memeku,dioecious,-5.7199667,145.267933,1214,arf2
40,arfarkensis,arfarkensis,arfarkensis,MemArf6,noWol,1200,Memeku,dioecious,-5.726045,145.268117,1019,arf2
41,arfarkensis,arfarkensis,arfarkensis,MemArf7,noWol,1200,Memeku,dioecious,-5.720583,145.27005,1108,arf2
42,arfarkensis,arfarkensis,arfarkensis,MemArf7R,noWol,1200,Memeku,dioecious,-5.720583,145.27005,1108,arf4
43,arfarkensis,arfarkensis,arfarkensis,MemArf9b,noWol,1200,Memeku,dioecious,-5.719767,145.269183,1254,arf2
97,itoana,itoana,itoana,MemIto23,wspC2,1200,Memeku,dioecious,-5.71946,145.26251,na,ito
98,itoana,itoana,itoana,MemIto3,wspC2,1200,Memeku,dioecious,-5.71946,145.26252,na,ito
